                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 0.7558,                0.53679,                 0.9878,                0.98509,                0.97531,                0.98544,                0.83055,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                  0.764,                0.55834,                0.98275,                0.97919,                0.96296,                0.98437,                0.82766,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.70796,                0.50411,                0.95883,                0.98332,                0.98765,                 0.9859,                 0.8536,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.72044,                0.53216,                0.97472,                0.97512,                0.98765,                0.98003,                0.83608,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 0.6839,                0.51821,                 0.9558,                0.98763,                0.98598,                0.98411,                0.83242,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.71097,                0.50382,                  0.973,                0.98762,                0.98462,                0.98546,                0.84467,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.69883,                0.52173,                0.95353,                0.98749,                0.97489,                0.98539,                0.84526,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.68196,                0.51005,                0.93934,                 0.9876,                0.98339,                0.98504,                0.84152,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.65231,                0.47074,                0.94019,                0.99632,                0.98765,                0.98582,                0.84463,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.66609,                0.48067,                0.94982,                      1,                0.98719,                0.98584,                0.84186,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.64624,                0.48626,                0.93969,                0.98609,                0.97531,                0.98462,                0.84547,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.65618,                0.47459,                 0.9543,                 0.9849,                0.98765,                0.98326,                0.83503,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.64742,                0.47663,                0.95221,                0.96248,                0.98765,                0.98497,                0.85414,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.64353,                0.47522,                0.96337,                0.96124,                0.98765,                0.98501,                0.85396,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                 0.6529,                0.47195,                0.94156,                0.96798,                0.98765,                0.98302,                0.84382,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.63879,                0.47027,                0.94608,                0.97326,                0.98765,                0.98539,                0.84527,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.64079,                 0.4657,                0.94842,                0.98456,                0.98765,                0.98572,                0.84953,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.61813,                0.44455,                0.93939,                0.98767,                0.97531,                0.98583,                0.85619,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.63558,                0.46123,                0.93942,                 0.9756,                0.98739,                0.98545,                0.85219,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
